a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
1338,17,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1339,17,7,60,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1 1,,,,,,
1340,17,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1341,17,9,75,,,,,,brute,1 1,,,,,,,,,,,,,,
1342,17,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1343,17,11,90,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1,,,,,,
1344,17,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1345,17,13,105,,,,,,brute,1 1,,,,,,,,,,,,,,
1346,17,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1347,17,15,120,,,,goon,3 3 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1348,17,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1349,17,17,135,,,,,,brute,1 1,,,,,,,,,,,,,,
1350,17,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1351,17,19,150,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1,,,,,,
1352,17,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1353,17,21,165,,,,,,brute,1 1,,,,,,,,,,,,,,
1354,17,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1355,17,End x Rooftops (2),180,18,5,,goon,3 3,brute,1 1,spitter,2 2,,,,,,,,,,,,
1356,18,xx Gas Station (1),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1357,18,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1358,18,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1359,18,3,30,,,,goon,5 5,brute,1 1 2,,,,,bomber,2 2 4,,,,,,,,
1360,18,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1361,18,5,45,,,,,,,,spitter,1 1 2,,,bomber,2 2,,,,,,,,
1362,18,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1363,18,7,60,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,,,,,,
1364,18,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1365,18,9,75,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1366,18,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1367,18,11,90,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,,,,,,,,
1368,18,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1369,18,13,105,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1370,18,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1371,18,15,120,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1372,18,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1373,18,17,135,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1374,18,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1375,18,19,150,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,2 2,,,,,,
1376,18,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1377,18,21,165,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1378,18,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1379,18,End xx Gas Station (1),180,18,5,,goon,5 5,brute,1 1,spitter,1 1,,,bomber,2 2,gargoyle,1 1,,,,,,
1380,19,xx Gas Station (2),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1381,19,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1382,19,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1383,19,3,30,,,,goon,5 5,brute,1 1 2,,,,,bomber,2 2 4,,,,,,,,
1384,19,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1385,19,5,45,,,,,,,,spitter,1 1 2,,,bomber,2 2,,,,,,,,
1386,19,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1387,19,7,60,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,,,,,,
1388,19,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1389,19,9,75,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1390,19,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1391,19,11,90,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1392,19,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1393,19,13,105,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1394,19,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1395,19,15,120,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1396,19,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1397,19,17,135,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1398,19,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1399,19,19,150,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,2 2,,,,,,
1400,19,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1401,19,21,165,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1402,19,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1403,19,End xx Gas Station (2),180,18,5,,goon,5 5,brute,1 1,spitter,1 1,,,bomber,2 2,gargoyle,1 1,,,,,,
1404,20,xx Parking Garage (1),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1405,20,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1406,20,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1407,20,3,30,,,,goon,5 5,brute,1 1 1,,,minion,4 4 4,,,,,,,,,,
1408,20,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1409,20,5,45,,,,,,,,spitter,1 1 1,minion_nometeor,4 4 4,,,,,,,,,,
1410,20,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1411,20,7,60,,,,goon,5 5,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1412,20,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1413,20,9,75,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1414,20,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1415,20,11,90,,,,goon,5 5,brute,1 1,,,minion,4 4,,,,,,,,,,
1416,20,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1417,20,13,105,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1418,20,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1419,20,15,120,,,,goon,5 5,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1420,20,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1421,20,17,135,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1422,20,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1423,20,19,150,,,,goon,5 5,brute,1 1,,,minion,4 4,,,,,,,,,,
1424,20,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1425,20,21,165,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1426,20,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1427,20,End xx Parking Garage (1),180,18,5,,goon,5 5,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1428,21,xx Parking Garage (2),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1429,21,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1430,21,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1431,21,3,30,,,,goon,5 5,brute,1 1 2,,,minion,4 4 4,,,,,,,,,,
1432,21,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1433,21,5,45,,,,,,,,spitter,1 1 2,minion_nometeor,4 4,,,,,,,,,,
1434,21,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1435,21,7,60,,,,goon,5 5,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1436,21,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1437,21,9,75,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1438,21,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1439,21,11,90,,,,goon,5 5,brute,1 1,,,minion,4 4,,,,,,,,,,
1440,21,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1441,21,13,105,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1442,21,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1443,21,15,120,,,,goon,5 5,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1444,21,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1445,21,17,135,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1446,21,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1447,21,19,150,,,,goon,5 5,brute,1 1,,,minion,4 4,,,,,,,,,,
1448,21,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1449,21,21,165,,,,,,,,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1450,21,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1451,21,End xx Parking Garage (2),180,18,5,,goon,5 5,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1452,22,xx Rooftops (1),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1453,22,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1454,22,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1455,22,3,30,,,,goon,5 5,,,spitter,2 2 4,,,,,,,,,,,,
1456,22,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1457,22,5,45,,,,,,brute,1 1 1,spitter,2 2,,,,,,,,,,,,
1458,22,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1459,22,7,60,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1 2,,,,,,
1460,22,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1461,22,9,75,,,,goon,5 5,,,spitter,2 2,,,,,,,,,,,,
1462,22,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1463,22,11,90,,,,goon,5 5,,,spitter,2 2,,,,,,,,,,,,
1464,22,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1465,22,13,105,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1466,22,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1467,22,15,120,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1468,22,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1469,22,17,135,,,,goon,5 5,brute,1 1,spitter,2 2,,,,,,,,,,,,
1470,22,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1471,22,19,150,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1472,22,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1473,22,21,165,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1474,22,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1475,22,End xx Rooftops (1),180,18,5,,goon,5 5,brute,1 1,spitter,2 2,,,,,,,,,,,,
1476,23,xx Rooftops (2),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1477,23,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1478,23,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1479,23,3,30,,,,goon,5 5,,,spitter,2 2 4,,,,,,,,,,,,
1480,23,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1481,23,5,45,,,,,,brute,1 1 2,spitter,2 2,,,,,,,,,,,,
1482,23,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1483,23,7,60,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1 2,,,,,,
1484,23,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1485,23,9,75,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1486,23,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1487,23,11,90,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1488,23,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1489,23,13,105,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1490,23,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1491,23,15,120,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1492,23,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1493,23,17,135,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1494,23,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1495,23,19,150,,,,goon,5 5,,,spitter,2 2,,,,,locust,1 1,,,,,,
1496,23,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1497,23,21,165,,,,,,brute,1 1,spitter,2 2,,,,,,,,,,,,
1498,23,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1499,23,End xx Rooftops (2),180,18,5,,goon,5 5,brute,1 1,spitter,2 2,,,,,,,,,,,,
1500,24,Left Ancestor,0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1501,24,1,10,,,,goon,5 5,,,spitter,3 3 3,,,,,,,,,,,,
1502,24,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1503,24,3,30,,,,goon,5 5,,,spitter,3 3,,,,,,,,,,,,
1504,24,4,40,,,,goon,5 5,,,,,,,,,,,,,,,,
1505,24,5,45,,,,goon,5 5,,,spitter,3 3,,,,,,,,,,,,
1506,24,6,50,,,,goon,5 5,,,,,,,,,,,,,,,,
1507,24,7,60,,,,goon,5 5,,,spitter,3 3,,,,,locust,1 1,,,,,,
1508,24,8,70,,,,goon,5 5,,,,,,,,,,,,,,,,
1509,24,9,75,,,,goon,5 5,,,spitter,3 3,,,,,,,,,,,,
1510,24,10,80,,,,goon,5 5,,,,,,,,,,,,,,,,
1511,24,11,90,,,,goon,5 5,,,spitter,4 4 4,,,,,,,,,,,,
1512,24,12,100,,,,goon,5 5,,,,,,,,,,,,,,,,
1513,24,13,105,,,,goon,5 5,,,spitter,4 4,,,,,,,,,,,,
1514,24,14,110,,,,goon,5 5,,,,,,,,,,,,,,,,
1515,24,15,120,,,,goon,5 5,,,spitter,4 4,,,,,,,,,,,,
1516,24,16,130,,,,goon,5 5,,,,,,,,,,,,,,,,
1517,24,17,135,,,,goon,5 5,,,spitter,4 4,,,,,,,,,,,,
1518,24,18,140,,,,goon,5 5,,,,,,,,,,,,,,,,
1519,24,19,150,,,,goon,5 5,,,spitter,4 4,,,,,locust,1 1,,,,,,
1520,24,20,160,,,,goon,5 5,,,,,,,,,,,,,,,,
1521,24,21,165,,,,goon,5 5,,,spitter,4 4,,,,,,,,,,,,
1522,24,22,170,,,,goon,5 5,,,,,,,,,,,,,,,,
1523,24,End Left Ancestor,180,18,5,,goon,5 5,,,spitter,4 4,,,,,,,,,,,,
1524,25,Middle Ancestor,0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1525,25,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1526,25,2,20,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1527,25,3,30,,,,goon,5 5,,,,,,,,,,,,,elite,1 1 2,,
1528,25,4,40,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,,,,
1529,25,5,45,,,,goon,5 5,,,,,,,,,,,,,,,,
1530,25,6,50,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1531,25,7,60,,,,goon,5 5,,,,,,,,,,,,,,,,
1532,25,8,70,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,,,,
1533,25,9,75,,,,goon,5 5,,,,,,,,,,,,,,,,
1534,25,10,80,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1535,25,11,90,,,,goon,5 5,,,,,,,,,,,,,elite,1 1,,
1536,25,12,100,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,,,,
1537,25,13,105,,,,goon,5 5,,,,,,,,,,,,,,,,
1538,25,14,110,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1539,25,15,120,,,,goon,5 5,,,,,,,,,,,,,,,,
1540,25,16,130,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,,,,
1541,25,17,135,,,,goon,5 5,,,,,,,,,,,,,,,,
1542,25,18,140,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1543,25,19,150,,,,goon,5 5,,,,,,,,,,,,,elite,1 1,,
1544,25,20,160,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,,,,
1545,25,21,165,,,,goon,5 5,,,,,,,,,,,,,,,,
1546,25,22,170,,,,goon,5 5,,,,,minion,8 8 8,,,,,,,,,,
1547,25,End Middle Ancestor,180,18,5,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,,,,elite,1 1,,
1548,26,Right Ancestor,0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1549,26,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1550,26,2,20,,,,goon,5 5,,,,,,,bomber,4 4 8,,,,,,,,
1551,26,3,30,,,,goon,5 5,,,,,,,,,,,,,,,,
1552,26,4,40,,,,goon,5 5,,,,,,,bomber,4 4,,,,,,,,
1553,26,5,45,,,,goon,5 5,,,,,,,,,,,,,,,,
1554,26,6,50,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1 3,,,,,,
1555,26,7,60,,,,goon,5 5,,,,,,,,,,,,,,,,
1556,26,8,70,,,,goon,5 5,,,,,,,bomber,4 4,,,,,,,,
1557,26,9,75,,,,goon,5 5,,,,,,,,,,,,,,,,
1558,26,10,80,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1559,26,11,90,,,,goon,5 5,,,,,,,,,,,,,,,,
1560,26,12,100,,,,goon,5 5,,,,,,,bomber,4 4,,,,,,,,
1561,26,13,105,,,,goon,5 5,,,,,,,,,,,,,,,,
1562,26,14,110,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1563,26,15,120,,,,goon,5 5,,,,,,,,,,,,,,,,
1564,26,16,130,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1565,26,17,135,,,,goon,5 5,,,,,,,,,,,,,,,,
1566,26,18,140,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1567,26,19,150,,,,goon,5 5,,,,,,,,,,,,,,,,
1568,26,20,160,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1569,26,21,165,,,,goon,5 5,,,,,,,,,,,,,,,,
1570,26,22,170,,,,goon,5 5,,,,,,,bomber,4 4,gargoyle,1 1,,,,,,
1571,26,End Right Ancestor,180,18,5,,goon,5 5,,,,,,,,,,,,,,,,
1572,27,Last Stand,0,,,,goon,4 4 4,,,spitter,2 2 2,minion_nometeor,2 2 2,,,gargoyle,1 1 2,,,,,,
1573,27,1,10,,,,goon,4 4,brute,2 2 2,,,,,bomber,2 2 2,,,,,,,,
1574,27,2,20,,,,goon,4 4,,,,,minion,4 4 4,,,,,,,,,,
1575,27,3,30,,,,goon,4 4,,,,,,,bomber,2 2,,,,,elite,1 1 2,,
1576,27,4,40,,,,goon,4 4,,,spitter,2 2,minion_nometeor,2 2,,,gargoyle,1 1,,,,,,
1577,27,5,45,,,,goon,4 4,brute,2 2,,,,,bomber,2 2,,,,,,,,
1578,27,6,50,,,,goon,4 4,,,,,minion,4 4 4,,,,,,,,,,
1579,27,7,60,,,,goon,4 4,,,,,,,bomber,2 2,,,locust,1 1 1,,,,
1580,27,8,70,,,,,,,,spitter,2 2,minion_nometeor,2 2,,,gargoyle,1 1,,,,,,
1581,27,9,75,,,,,,brute,2 2,,,,,bomber,2 2,,,,,,,,
1582,27,10,80,,,,,,,,,,minion,4 4 4,,,,,,,,,,
1583,27,11,90,,,,,,,,,,,,bomber,2 2,,,locust,1 1,,,,
1584,27,12,100,,,,,,,,spitter,2 2,minion_nometeor,2 2,,,gargoyle,1 1,,,,,,
1585,27,13,105,,,,,,brute,2 2,,,,,bomber,2 2,,,,,,,,
1586,27,14,110,,,,,,,,,,minion,4 4 4,,,,,,,,,,
1587,27,15,120,,,,,,,,,,,,bomber,2 2,,,locust,1 1,,,mammoth,1 1 1
1588,27,16,130,,,,goon,4 4,,,spitter,2 2,minion_nometeor,2 2,,,gargoyle,1 1,,,,,,
1589,27,17,135,,,,goon,4 4,brute,2 2,,,,,bomber,2 2,,,,,,,,
1590,27,18,140,,,,goon,4 4,,,,,minion,4 4 4,,,,,,,,,,
1591,27,19,150,,,,goon,4 4,,,,,,,bomber,2 2,,,locust,1 1 2,,,,
1592,27,20,160,,,,goon,4 4,,,spitter,2 2,,2 2,,,gargoyle,1 1,,,,,,
1593,27,21,165,,,,goon,4 4,brute,2 2,,,,,bomber,2 2,,,,,,,,
1594,27,22,170,,,,goon,4 4,,,,,minion,4 4 4,,,,,,,,,,
1595,27,End Last Stand,180,18,10,,goon,4 4 8,brute,2 2 2,spitter,2 2 2,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,,
1596,27,End Last Stand,240,18,10,,goon,8 8 8,brute,2 2 2,spitter,2 2 2,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,,
1597,27,End Last Stand,300,18,10,,goon,4 4 4,brute,2 2 4,spitter,2 2 4,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,,
1598,27,End Last Stand,360,18,10,,goon,2 2 2,brute,2 2 4,spitter,2 2 4,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 2,locust,1 1 2,elite,1 1 1,,
1599,27,End Last Stand,420,18,5,,goon,2 2 2,brute,2 2 4,spitter,2 2 4,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 2,locust,1 1 2,elite,1 1 1,,
1600,27,End Last Stand,480,18,5,,goon,1 1 1,brute,2 2 4,spitter,2 2 4,minion_nometeor,2 2 2,bomber,1 1 1,gargoyle,1 1 2,locust,1 1 2,elite,1 1 2,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
3000,1,no,0,elite,1 1 1,,,,,,,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,2,,,,,,,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0,,,,,,,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,0,,,,,,,,,,,,,,,,,,,,,,
500,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
501,2,1,1,1,1,,,,,,,,,,,,,,,,,,,
502,3,1,1,1,1,,,,,,,,,,,,,,,,,,,
503,4,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
504,5,1,1,1,2,,,,,,,,,,,,,,,,,,,
505,6,1,1,1,1,,,,,,,,,,,,,,,,,,,
506,7,1,1,1,1,,,,,,,,,,,,,,,,,,,
507,8,1,1,1,1,,,,,,,,,,,,,,,,,,,
508,9,1,1,1,1,,,,,,,,,,,,,,,,,,,
509,10,1,1,1,1,,,,,,,,,,,,,,,,,,,
510,11,1,1,1,1,,,,,,,,,,,,,,,,,,,
511,12,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
512,13,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
513,14,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
514,15,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
515,16,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
516,17,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
517,18,1,1,1,2,,,,,,,,,,,,,,,,,,,
518,19,1,1,1,2,,,,,,,,,,,,,,,,,,,
519,20,1,1,1,2,,,,,,,,,,,,,,,,,,,
520,21,1,1,1,2,,,,,,,,,,,,,,,,,,,
521,22,1,1,1,2,,,,,,,,,,,,,,,,,,,
522,23,1,1,1,2,,,,,,,,,,,,,,,,,,,
523,24,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
524,25,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
525,26,1,1,1,1.5,,,,,,,,,,,,,,,,,,,
526,27,1,1,1,2,,,,,,,,,,,,,,,,,,,
600,1,90,10000,,,,,,,,,,,,,,,,,,,,,
601,2,105,10000,,,,,,,,,,,,,,,,,,,,,
602,3,120,10000,,,,,,,,,,,,,,,,,,,,,
603,4,135,10000,,,,,,,,,,,,,,,,,,,,,
604,5,150,10000,,,,,,,,,,,,,,,,,,,,,
605,6,150,10000,,,,,,,,,,,,,,,,,,,,,
606,7,150,10000,,,,,,,,,,,,,,,,,,,,,
607,8,150,10000,,,,,,,,,,,,,,,,,,,,,
608,9,150,10000,,,,,,,,,,,,,,,,,,,,,
609,10,150,10000,,,,,,,,,,,,,,,,,,,,,
610,11,150,10000,,,,,,,,,,,,,,,,,,,,,
611,12,180,10000,,,,,,,,,,,,,,,,,,,,,
612,13,180,10000,,,,,,,,,,,,,,,,,,,,,
613,14,180,10000,,,,,,,,,,,,,,,,,,,,,
614,15,180,10000,,,,,,,,,,,,,,,,,,,,,
615,16,180,10000,,,,,,,,,,,,,,,,,,,,,
616,17,180,10000,,,,,,,,,,,,,,,,,,,,,
617,18,210,10000,,,,,,,,,,,,,,,,,,,,,
618,19,210,10000,,,,,,,,,,,,,,,,,,,,,
619,20,210,10000,,,,,,,,,,,,,,,,,,,,,
620,21,210,10000,,,,,,,,,,,,,,,,,,,,,
621,22,210,10000,,,,,,,,,,,,,,,,,,,,,
622,23,210,10000,,,,,,,,,,,,,,,,,,,,,
623,24,240,10000,,,,,,,,,,,,,,,,,,,,,
624,25,240,10000,,,,,,,,,,,,,,,,,,,,,
625,26,240,10000,,,,,,,,,,,,,,,,,,,,,
626,27,240,10000,,,,,,,,,,,,,,,,,,,,,
700,transition_left,0 900,transition_left_lane_1,,,,,,,,,,,,,,,,,,,,,
701,transition_middle,0 900,transition_middle_lane_1,,,,,,,,,,,,,,,,,,,,,
702,transition_right,0 900,transition_right_lane_1,,,,,,,,,,,,,,,,,,,,,
703,transition_upper_left,0 900,transition_upper_left_lane_1,,,,,,,,,,,,,,,,,,,,,
704,transition_upper_right,0 900,transition_upper_right_lane_1,,,,,,,,,,,,,,,,,,,,,
705,main_base,0 900,main_base_lane_1 main_base_lane_2 main_base_lane_3,,,,,,,,,,,,,,,,,,,,,
706,conduit_gas_station_1,0 900,gas_station_lane_1,,,,,,,,,,,,,,,,,,,,,
707,conduit_gas_station_2,0 900,gas_station_lane_1,,,,,,,,,,,,,,,,,,,,,
708,conduit_parking_1,0 900,parking_lane_1,,,,,,,,,,,,,,,,,,,,,
