a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
7016,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7017,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7018,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7019,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7020,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7021,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7022,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7023,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7024,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7025,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7026,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7027,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7028,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7029,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
